system,system_name,school,school_name,pool,Indicator,All Students,BHN,ED,EL,Super Subgroup,SWD,Indicator Score (60-40)
20,Bedford County,39,Learning Way Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,39,Learning Way Elementary,K8,Weighted Subgroup Score,2.1,2.6,2.2,2.7,1.4,3, 
20,Bedford County,40,East Side Elementary,K8,Achievement,2,2,2,2,2,NA,2
20,Bedford County,40,East Side Elementary,K8,Growth,1,2,2,2,2,3,1.5
20,Bedford County,40,East Side Elementary,K8,Chronic Absenteeism,4,4,4,4,NA,2,3.8
20,Bedford County,40,East Side Elementary,K8,ELPA,4,4,4,4,NA,NA,4
20,Bedford County,40,East Side Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,40,East Side Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,40,East Side Elementary,K8,Weighted Subgroup Score,2.1,2.4,2.4,2.4,2,2.8, 
20,Bedford County,53,Liberty Elementary,K8,Achievement,2,2,2,NA,2,2,2
20,Bedford County,53,Liberty Elementary,K8,Growth,3,2,3,2,2,2,2.7
20,Bedford County,53,Liberty Elementary,K8,Chronic Absenteeism,2,4,4,NA,NA,4,2.8
20,Bedford County,53,Liberty Elementary,K8,ELPA,2,2,NA,2,NA,NA,2
20,Bedford County,53,Liberty Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,53,Liberty Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,53,Liberty Elementary,K8,Weighted Subgroup Score,2.4,2.2,2.6,2,2,2.2, 
20,Bedford County,75,South Side Elementary,K8,Achievement,1,2,1,2,1,NA,1.3
20,Bedford County,75,South Side Elementary,K8,Growth,0,1,1,2,1,NA,0.5
20,Bedford County,75,South Side Elementary,K8,Chronic Absenteeism,3,4,4,4,NA,1,3.1
20,Bedford County,75,South Side Elementary,K8,ELPA,4,4,4,4,NA,NA,4
20,Bedford County,75,South Side Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,75,South Side Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,75,South Side Elementary,K8,Weighted Subgroup Score,1.2,2.1,1.6,2.4,1,1, 
20,Bedford County,78,Thomas Magnet Elementary School,K8,Achievement,4,4,4,NA,4,NA,4
20,Bedford County,78,Thomas Magnet Elementary School,K8,Growth,2,2,2,2,2,NA,2
20,Bedford County,78,Thomas Magnet Elementary School,K8,Chronic Absenteeism,4,4,4,NA,NA,NA,4
20,Bedford County,78,Thomas Magnet Elementary School,K8,ELPA,NA,NA,NA,NA,NA,NA, 
20,Bedford County,78,Thomas Magnet Elementary School,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,78,Thomas Magnet Elementary School,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
